from,to,connectivite,similarite
DEM,ECOLO,0.687135460189399,0.47619937767066
DEM,GDR-NUPES,0.701081209280192,0.443712109641649
DEM,HOR,0.656300654282316,0.982572317161176
DEM,LFI-NUPES,0.628196250674745,0.23411962818234
DEM,LIOT,0.718202585124888,0.865204089618281
DEM,LR,0.744092597791445,0.760258435442578
DEM,NI,0.932892413080129,0.654427848536753
DEM,RE,0.671841342154262,0.990931860174303
DEM,RN,0.698388062797583,0.486925400530215
DEM,SOC,0.711676235493266,0.851213893801604
ECOLO,GDR-NUPES,0.696848347180056,0.83669697735215
ECOLO,HOR,0.643718925431646,0.413112040674888
ECOLO,LFI-NUPES,0.669835196922552,0.773472620510213
ECOLO,LIOT,0.626759001799015,0.563229660523414
ECOLO,LR,0.639338650479955,0.486356957972394
ECOLO,NI,0.944418150034092,0.372021979037632
ECOLO,RE,0.649599318366928,0.428389614778865
ECOLO,RN,0.671879742747276,0.483881737737058
ECOLO,SOC,0.671720965852036,0.575741809831322
GDR-NUPES,HOR,0.639719227645752,0.391753617900854
GDR-NUPES,LFI-NUPES,0.64352956590233,0.894457358955863
GDR-NUPES,LIOT,0.563652130656318,0.50439882474729
GDR-NUPES,LR,0.602558670954346,0.372686611881527
GDR-NUPES,NI,0.941013584117032,0.254752284752285
GDR-NUPES,RE,0.669946482332795,0.398322218947194
GDR-NUPES,RN,0.692638718712827,0.336000568357653
GDR-NUPES,SOC,0.640093105074692,0.428780339344979
HOR,LFI-NUPES,0.573586061189536,0.18015129096594
HOR,LIOT,0.647254997847787,0.880254856686553
HOR,LR,0.668121991741666,0.69100328149408
HOR,NI,0.940007923727731,0.6238735041871
HOR,RE,0.644188505451586,0.985595988636491
HOR,RN,0.655116264427044,0.470238975304553
HOR,SOC,0.671026284359314,0.798877666318544
LFI-NUPES,LIOT,0.607074443653512,0.414337956633474
LFI-NUPES,LR,0.582315870348474,0.295900388358538
LFI-NUPES,NI,0.96105071293009,0.230533520794067
LFI-NUPES,RE,0.600639489600019,0.214350111062848
LFI-NUPES,RN,0.60792764010013,0.464013887483122
LFI-NUPES,SOC,0.629180929343594,0.409707874889602
LIOT,LR,0.64032567486615,0.727349592649019
LIOT,NI,0.976958525345622,0.705128205128205
LIOT,RE,0.671850461149558,0.866069763587183
LIOT,RN,0.695014679347107,0.619517663091727
LIOT,SOC,0.641772982095563,0.845128252614884
LR,NI,0.994871794871795,0.770243645243645
LR,RE,0.699334330711731,0.743398187688907
LR,RN,0.758721104333161,0.633770733603224
LR,SOC,0.685566154071056,0.764422147877795
NI,RE,0.930426473169023,0.640739682746751
NI,RN,0.976952827493938,0.782907017010419
NI,SOC,0.995451195740028,0.63663967611336
RE,RN,0.681707112244183,0.455416867635825
RE,SOC,0.668804034509164,0.847200574190666
RN,SOC,0.715219310542128,0.608454398785167
